Brand,Platform,Followers,Post_Frequency,Posting_Frequency,Avg_Likes,Avg_Likes_Count,No_of_Posts,August_Posts
Nippon Paints,Instagram,"2,193",0.76,Posts roughly about 3 times a week,2.06,Last 20 post,"2,217",23
Nippon Paints,Facebook,"204,000",1.1,Posts every 2 days,78.9,Last 30 days,4300,33
DULUX,Instagram,504,0.13,Posts roughly once a week,3.06,Last 20 post,462,4
DULUX,Facebook,"6,700,000",0.2,Posts roughly once a week,61.1,Last 30 days,2400,6
Asian Paints ,Instagram,"4,695",0.03,Posts roughly twice a month,7.63,Last 20 post,"1,372",1
Asian Paints ,Facebook,"247,000",0.36,Posts every 2 days,47.5,Last 30 days,2600,11
JAT,Instagram,144,0.6,Posts every day,4.5,Last 20 post,156,18
JAT,Facebook,"9,600",0.5,Posts every day,251.6,Last 30 days,156,16
Multilac,Instagram,"4,450",0.4,Posts every 2 days,15.5,Last 20 post,"1,206",12
Multilac,Facebook,"127,000",0.5,Posts every 2 days,246.1,Last 30 days,1800,16
